date,transaction,money_flow,transaction_type,location,transaction_description,signed_amount,auto_bucket,bucket_override,final_bucket
2024-09-02,40,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-40.0,Inventory,TO_CONFIRM,Inventory
2024-09-04,1082,Money In,Revenue,deplomacyMall,TO_CONFIRM,1082.0,Inflow,TO_CONFIRM,Inflow
2024-09-04,40,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-40.0,Inventory,TO_CONFIRM,Inventory
2024-09-05,64,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-64.0,Inventory,TO_CONFIRM,Inventory
2024-09-07,1574,Money Out,Product Restocking,TO_CONFIRM,بضاعه ,-1574.0,Inventory,TO_CONFIRM,Inventory
2024-09-07,20,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-20.0,Inventory,TO_CONFIRM,Inventory
2024-09-08,40,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-40.0,Inventory,TO_CONFIRM,Inventory
2024-09-09,1896,Money In,Revenue,deplomacyMall,TO_CONFIRM,1896.0,Inflow,TO_CONFIRM,Inflow
2024-09-09,40,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-40.0,Inventory,TO_CONFIRM,Inventory
2024-09-10,225,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-225.0,Inventory,TO_CONFIRM,Inventory
2024-09-10,325,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-325.0,Inventory,TO_CONFIRM,Inventory
2024-09-11,57.75,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-57.75,Inventory,TO_CONFIRM,Inventory
2024-09-12,1134,Money In,Revenue,deplomacyMall,TO_CONFIRM,1134.0,Inflow,TO_CONFIRM,Inflow
2024-09-12,446,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-446.0,Inventory,TO_CONFIRM,Inventory
2024-09-11,61,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-61.0,Inventory,TO_CONFIRM,Inventory
2024-09-12,72,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-72.0,Inventory,TO_CONFIRM,Inventory
2024-09-14,177,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-177.0,Inventory,TO_CONFIRM,Inventory
2024-09-15,1280,Money In,Revenue,deplomacyMall,TO_CONFIRM,1280.0,Inflow,TO_CONFIRM,Inflow
2024-09-16,72,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-72.0,Inventory,TO_CONFIRM,Inventory
2024-09-16,585,Money In,Revenue,deplomacyMall,TO_CONFIRM,585.0,Inflow,TO_CONFIRM,Inflow
2024-09-16,164,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-164.0,Inventory,TO_CONFIRM,Inventory
2024-09-18,718,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-718.0,Inventory,TO_CONFIRM,Inventory
2024-09-19,792,Money In,Revenue,deplomacyMall,TO_CONFIRM,792.0,Inflow,TO_CONFIRM,Inflow
2024-09-19,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,0.0,Review,TO_CONFIRM,Review
2024-09-21,1144,Money In,Revenue,deplomacyMall,TO_CONFIRM,1144.0,Inflow,TO_CONFIRM,Inflow
2024-09-21,51,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-51.0,Inventory,TO_CONFIRM,Inventory
2024-09-22,540,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-540.0,Inventory,TO_CONFIRM,Inventory
2024-09-21,101,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-101.0,Inventory,TO_CONFIRM,Inventory
2024-09-25,87,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-87.0,Inventory,TO_CONFIRM,Inventory
2024-09-26,50.5,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-50.5,Inventory,TO_CONFIRM,Inventory
2024-09-26,1311,Money In,Revenue,deplomacyMall,TO_CONFIRM,1311.0,Inflow,TO_CONFIRM,Inflow
2024-09-28,960,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-960.0,Inventory,TO_CONFIRM,Inventory
2024-09-28,49,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-49.0,Inventory,TO_CONFIRM,Inventory
2024-09-27,80,Money Out,TO_CONFIRM,TO_CONFIRM,تركيب اللافته عل تلاجه,-80.0,Review,TO_CONFIRM,Review
2024-10-01,375,Money Out,TO_CONFIRM,TO_CONFIRM,"ارسال (change box, motherboard) الى الصين",-375.0,Review,TO_CONFIRM,Review
2024-10-02,1500,Money Out,TO_CONFIRM,TO_CONFIRM,ارجاع قيمة الى محمد العتيري,-1500.0,Review,TO_CONFIRM,Review
2024-09-30,935,Money In,Revenue,deplomacyMall,TO_CONFIRM,935.0,Inflow,TO_CONFIRM,Inflow
2024-11-29,836,Money In,Revenue,deplomacyMall,TO_CONFIRM,836.0,Inflow,TO_CONFIRM,Inflow
2024-11-29,70,Money Out,TO_CONFIRM,TO_CONFIRM,"ارجاع شحن (change box, motherboard)",-70.0,Review,TO_CONFIRM,Review
2024-11-29,65,Money Out,Product Restocking,TO_CONFIRM,بضاعه من محل لجنب دبلوماسي,-65.0,Inventory,TO_CONFIRM,Inventory
2024-11-30,1029,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1029.0,Inventory,TO_CONFIRM,Inventory
2024-12-03,50,Money Out,TO_CONFIRM,TO_CONFIRM,اجار فوركه لتحريك المكينه ,-50.0,Review,TO_CONFIRM,Review
2024-12-05,850,Money Out,Product Restocking,TO_CONFIRM,بضاعه من المتحده والمحل لديما ناخد منه,-850.0,Inventory,TO_CONFIRM,Inventory
2024-12-01,1800,Money In,TO_CONFIRM,TO_CONFIRM,تمت تسوية سعر الماكينه مع تيسير,1800.0,Review,TO_CONFIRM,Review
2024-12-09,1111,Money In,Revenue,deplomacyMall,TO_CONFIRM,1111.0,Inflow,TO_CONFIRM,Inflow
2024-12-10,455,Money Out,TO_CONFIRM,TO_CONFIRM,فواتير,-455.0,Review,TO_CONFIRM,Review
2024-12-11,9000,Money In,TO_CONFIRM,TO_CONFIRM,سحبت فلوس الايداع لفتح شركه,9000.0,Review,TO_CONFIRM,Review
2024-12-14,980,Money In,Revenue,deplomacyMall,TO_CONFIRM,980.0,Inflow,TO_CONFIRM,Inflow
2024-12-15,2500,Money In,ads,TO_CONFIRM,توربو من نص 12 الى نص 3,2500.0,Inflow,TO_CONFIRM,Inflow
2024-12-17,1097,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1097.0,Inventory,TO_CONFIRM,Inventory
2024-12-19,1600,Money In,Revenue,deplomacyMall,TO_CONFIRM,1600.0,Inflow,TO_CONFIRM,Inflow
2024-12-19,1223,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1223.0,Inventory,TO_CONFIRM,Inventory
2024-12-22,1140,Money In,Revenue,deplomacyMall,TO_CONFIRM,1140.0,Inflow,TO_CONFIRM,Inflow
2024-12-28,150,Money Out,TO_CONFIRM,TO_CONFIRM,الى دعاء المصممه,-150.0,Review,TO_CONFIRM,Review
2024-12-28,60,Money Out,TO_CONFIRM,TO_CONFIRM,طباعة الستكر لعصير البرتقال,-60.0,Review,TO_CONFIRM,Review
2025-01-02,1047,Money In,Revenue,deplomacyMall,TO_CONFIRM,1047.0,Inflow,TO_CONFIRM,Inflow
2025-01-02,769,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-769.0,Inventory,TO_CONFIRM,Inventory
2025-01-05,1189,Money In,Revenue,deplomacyMall,TO_CONFIRM,1189.0,Inflow,TO_CONFIRM,Inflow
2025-01-05,221,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-221.0,Inventory,TO_CONFIRM,Inventory
2025-01-06,640,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-640.0,Inventory,TO_CONFIRM,Inventory
2025-01-08,782,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-782.0,Inventory,TO_CONFIRM,Inventory
2025-01-08,1768,Money In,Revenue,deplomacyMall,TO_CONFIRM,1768.0,Inflow,TO_CONFIRM,Inflow
2025-01-09,1206,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1206.0,Inventory,TO_CONFIRM,Inventory
2025-01-09,1947,Money In,Revenue,deplomacyMall,TO_CONFIRM,1947.0,Inflow,TO_CONFIRM,Inflow
2025-01-11,1191,Money In,Revenue,deplomacyMall,TO_CONFIRM,1191.0,Inflow,TO_CONFIRM,Inflow
2025-01-11,525,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-525.0,Inventory,TO_CONFIRM,Inventory
2025-01-10,31,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-31.0,Inventory,TO_CONFIRM,Inventory
2025-01-14,8217,Money Out,to snacky,TO_CONFIRM,لشراء ماكينات,-8217.0,Review,TO_CONFIRM,Review
2025-01-14,13000,Money Out,TO_CONFIRM,TO_CONFIRM,"دفع قيمة 21,217 دينار لشراء عدد اثنان مكينات",-13000.0,Review,TO_CONFIRM,Review
2025-01-16,448,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-448.0,Inventory,TO_CONFIRM,Inventory
2025-01-22,70,Money Out,shipping,TO_CONFIRM,توصيل change box من شاهين,-70.0,Review,TO_CONFIRM,Review
2025-01-24,693,Money In,Revenue,deplomacyMall,TO_CONFIRM,693.0,Inflow,TO_CONFIRM,Inflow
2025-01-25,559,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-559.0,Inventory,TO_CONFIRM,Inventory
2025-01-26,453,Money In,Revenue,deplomacyMall,TO_CONFIRM,453.0,Inflow,TO_CONFIRM,Inflow
2025-02-01,491,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-491.0,Inventory,TO_CONFIRM,Inventory
2025-02-04,1240,Money In,Revenue,deplomacyMall,TO_CONFIRM,1240.0,Inflow,TO_CONFIRM,Inflow
2025-02-06,357,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-357.0,Inventory,TO_CONFIRM,Inventory
2025-02-13,1809,Money In,Revenue,deplomacyMall,TO_CONFIRM,1809.0,Inflow,TO_CONFIRM,Inflow
2025-02-13,548,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-548.0,Review,TO_CONFIRM,Review
2025-02-15,1381,Money In,Revenue,deplomacyMall,TO_CONFIRM,1381.0,Inflow,TO_CONFIRM,Inflow
2025-02-15,756,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-756.0,Inventory,TO_CONFIRM,Inventory
2025-02-15,150,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-150.0,Review,TO_CONFIRM,Review
2025-02-15,335,Money Out,Anas,TO_CONFIRM,ارجاع بعض القيمه اللتي تمت دفعها في البضاعه,-335.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-02-15,335,Money In,from snacky,TO_CONFIRM,TO_CONFIRM,335.0,Review,TO_CONFIRM,Review
2025-02-15,147,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل ميزانيه,-147.0,Review,TO_CONFIRM,Review
2025-02-16,321,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-321.0,Inventory,TO_CONFIRM,Inventory
2025-02-19,448,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-448.0,Inventory,TO_CONFIRM,Inventory
2025-02-19,1345,Money In,Revenue,deplomacyMall,TO_CONFIRM,1345.0,Inflow,TO_CONFIRM,Inflow
2025-02-19,1000,Money Out,Rent,TO_CONFIRM,ايجار الدبلوماسي شهر 11 و 12,-1000.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2025-02-20,589,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-589.0,Inventory,TO_CONFIRM,Inventory
2025-02-26,619,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-619.0,Inventory,TO_CONFIRM,Inventory
2025-02-26,1705,Money In,Revenue,deplomacyMall,TO_CONFIRM,1705.0,Inflow,TO_CONFIRM,Inflow
2025-02-27,3174,Money Out,shipping,TO_CONFIRM,شحن الماكينه التانيه من شاهين,-3174.0,Review,TO_CONFIRM,Review
2025-02-28,528,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-528.0,Inventory,TO_CONFIRM,Inventory
2025-03-04,1105,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-1105.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-03-04,1105,Money In,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,1105.0,Review,TO_CONFIRM,Review
2025-03-04,500,Money Out,Rent,TO_CONFIRM,شهر 3,-500.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2025-03-04,1500,Money In,ads,TO_CONFIRM,نصف قيمة دعايه توربو تلاته اشهر,1500.0,Inflow,TO_CONFIRM,Inflow
2025-03-08,1735,Money In,Revenue,deplomacyMall,TO_CONFIRM,1735.0,Inflow,TO_CONFIRM,Inflow
2025-03-08,892,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-892.0,Inventory,TO_CONFIRM,Inventory
2025-03-08,200,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-200.0,Inventory,TO_CONFIRM,Inventory
2025-03-10,100,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-100.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-03-10,100,Money In,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,100.0,Review,TO_CONFIRM,Review
2025-03-11,20,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-20.0,Inventory,TO_CONFIRM,Inventory
2025-03-12,656,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-656.0,Inventory,TO_CONFIRM,Inventory
2025-03-13,384,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-384.0,Inventory,TO_CONFIRM,Inventory
2025-03-14,277,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل الميزانية,-277.0,Review,TO_CONFIRM,Review
2025-03-14,50,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-50.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-03-14,50,Money In,from snacky,TO_CONFIRM,TO_CONFIRM,50.0,Review,TO_CONFIRM,Review
2025-03-14,1852,Money In,Revenue,deplomacyMall,TO_CONFIRM,1852.0,Inflow,TO_CONFIRM,Inflow
2025-03-16,300,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-300.0,Inventory,TO_CONFIRM,Inventory
2025-03-17,65,Money In,from snacky,TO_CONFIRM,TO_CONFIRM,65.0,Review,TO_CONFIRM,Review
2025-03-17,65,Money Out, Anas,TO_CONFIRM,TO_CONFIRM,-65.0,Review,TO_CONFIRM,Review
2025-03-17,429,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-429.0,Inventory,TO_CONFIRM,Inventory
2025-03-18,1434,Money In,Revenue,deplomacyMall,TO_CONFIRM,1434.0,Inflow,TO_CONFIRM,Inflow
2025-03-19,384,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-384.0,Inventory,TO_CONFIRM,Inventory
2025-03-20,563,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-563.0,Inventory,TO_CONFIRM,Inventory
2025-03-22,245,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-245.0,Inventory,TO_CONFIRM,Inventory
2025-03-25,1350,Money In,Revenue,deplomacyMall,TO_CONFIRM,1350.0,Inflow,TO_CONFIRM,Inflow
2025-03-25,557,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-557.0,Inventory,TO_CONFIRM,Inventory
2025-03-26,696,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-696.0,Inventory,TO_CONFIRM,Inventory
2025-03-28,1724,Money In,Revenue,deplomacyMall,TO_CONFIRM,1724.0,Inflow,TO_CONFIRM,Inflow
2025-03-29,205,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-205.0,Inventory,TO_CONFIRM,Inventory
2025-03-30,692,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-692.0,Inventory,TO_CONFIRM,Inventory
2025-03-31,830,Money In,Revenue,deplomacyMall,TO_CONFIRM,830.0,Inflow,TO_CONFIRM,Inflow
2025-04-02,1120,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1120.0,Inventory,TO_CONFIRM,Inventory
2025-04-02,2823,Money In,Revenue,deplomacyMall,ايام العيد,2823.0,Inflow,TO_CONFIRM,Inflow
2025-04-03,1553,Money In,Revenue,deplomacyMall,TO_CONFIRM,1553.0,Inflow,TO_CONFIRM,Inflow
2025-04-03,1025,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1025.0,Inventory,TO_CONFIRM,Inventory
2025-04-04,300,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-300.0,Inventory,TO_CONFIRM,Inventory
2025-04-04,1334,Money In,Revenue,deplomacyMall,TO_CONFIRM,1334.0,Inflow,TO_CONFIRM,Inflow
2025-04-05,1500,Money Out,Rent,TO_CONFIRM,دبلوماسي شهر تنين وتلاته واربعه,-1500.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2025-04-05,1448,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1448.0,Inventory,TO_CONFIRM,Inventory
2025-04-10,895,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-895.0,Inventory,TO_CONFIRM,Inventory
2025-04-11,2188,Money In,Revenue,deplomacyMall,TO_CONFIRM,2188.0,Inflow,TO_CONFIRM,Inflow
2025-04-12,550,Money In,TO_CONFIRM,TO_CONFIRM,تعديل ميزانيه,550.0,Review,TO_CONFIRM,Review
2025-04-12,1650,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1650.0,Inventory,TO_CONFIRM,Inventory
2025-04-16,800,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-800.0,Operations,TO_CONFIRM,Operations
2025-04-17,1363,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1363.0,Inventory,TO_CONFIRM,Inventory
2025-04-19,2748,Money In,Revenue,deplomacyMall,TO_CONFIRM,2748.0,Inflow,TO_CONFIRM,Inflow
2025-04-19,532,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-532.0,Inventory,TO_CONFIRM,Inventory
2025-04-21,532,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-532.0,Inventory,TO_CONFIRM,Inventory
2025-04-23,1430,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1430.0,Inventory,TO_CONFIRM,Inventory
2025-04-23,2495,Money In,Revenue,deplomacyMall,TO_CONFIRM,2495.0,Inflow,TO_CONFIRM,Inflow
2025-04-24,40,Money Out, Anas,TO_CONFIRM,TO_CONFIRM,-40.0,Review,TO_CONFIRM,Review
2025-04-26,788,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-788.0,Inventory,TO_CONFIRM,Inventory
2025-04-30,2706,Money In,Revenue,deplomacyMall,TO_CONFIRM,2706.0,Inflow,TO_CONFIRM,Inflow
2025-04-30,553,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-553.0,Inventory,TO_CONFIRM,Inventory
2025-04-30,1500,Money In,ads,TO_CONFIRM,نصف قيمة التاني دعايه توربو تلاته اشهر,1500.0,Inflow,TO_CONFIRM,Inflow
2025-05-03,761,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-761.0,Inventory,TO_CONFIRM,Inventory
2025-05-04,50,Money Out,Doaa,TO_CONFIRM,TO_CONFIRM,-50.0,Review,TO_CONFIRM,Review
2025-05-04,300,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-300.0,Review,TO_CONFIRM,Review
2025-05-08,673,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-673.0,Inventory,TO_CONFIRM,Inventory
2025-05-09,3063,Money In,Revenue,deplomacyMall,TO_CONFIRM,3063.0,Inflow,TO_CONFIRM,Inflow
2025-05-17,4000,Money Out,to snacky,TO_CONFIRM,TO_CONFIRM,-4000.0,Review,TO_CONFIRM,Review
2025-05-17,4000,Money In,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,4000.0,Review,TO_CONFIRM,Review
2025-05-17,6400,Money Out,shipping,TO_CONFIRM,تخليص الشحن مكينتين,-6400.0,Review,TO_CONFIRM,Review
2025-05-17,600,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-600.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-05-17,600,Money In,from snacky,TO_CONFIRM,TO_CONFIRM,600.0,Review,TO_CONFIRM,Review
2025-05-19,1766,Money In,Revenue,deplomacyMall,TO_CONFIRM,1766.0,Inflow,TO_CONFIRM,Inflow
2025-05-19,1000,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1000.0,Inventory,TO_CONFIRM,Inventory
2025-05-20,318,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-318.0,Inventory,TO_CONFIRM,Inventory
2025-05-27,350,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-350.0,Inventory,TO_CONFIRM,Inventory
2025-05-28,49,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-49.0,Inventory,TO_CONFIRM,Inventory
2025-05-29,1086,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1086.0,Inventory,TO_CONFIRM,Inventory
2025-05-29,5400,Money Out,Rent,HTMall,ايجار سته شهور مقدم HTmall,-5400.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2025-05-30,88,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-88.0,Inventory,TO_CONFIRM,Inventory
2025-05-31,333,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-333.0,Inventory,TO_CONFIRM,Inventory
2025-05-31,2440,Money In,Revenue,deplomacyMall,TO_CONFIRM,2440.0,Inflow,TO_CONFIRM,Inflow
2025-05-31,1157,Money In,Revenue,HTMall,TO_CONFIRM,1157.0,Inflow,TO_CONFIRM,Inflow
2025-06-01,3000,Money In,ads,deplomacyMall,دعايه توربو تلاته اشهر ,3000.0,Inflow,TO_CONFIRM,Inflow
2025-06-02,1220,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1220.0,Inventory,TO_CONFIRM,Inventory
2025-06-04,1771,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1771.0,Inventory,TO_CONFIRM,Inventory
2025-06-05,1535,Money In,Revenue,HTMall,TO_CONFIRM,1535.0,Inflow,TO_CONFIRM,Inflow
2025-06-10,681,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-681.0,Inventory,TO_CONFIRM,Inventory
2025-06-11,398,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-398.0,Inventory,TO_CONFIRM,Inventory
2025-06-12,702,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-702.0,Inventory,TO_CONFIRM,Inventory
2025-06-13,1303,Money In,Revenue,HappyLand,TO_CONFIRM,1303.0,Inflow,TO_CONFIRM,Inflow
2025-06-13,2397,Money In,Revenue,deplomacyMall,TO_CONFIRM,2397.0,Inflow,TO_CONFIRM,Inflow
2025-06-13,3130,Money In,Revenue,HTMall,TO_CONFIRM,3130.0,Inflow,TO_CONFIRM,Inflow
2025-06-14,250,Money Out,Rent,deplomacyMall,TO_CONFIRM,-250.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2025-06-14,900,Money Out,Rent,HappyLand,TO_CONFIRM,-900.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2025-06-14,420,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-420.0,Operations,TO_CONFIRM,Operations
2025-06-14,1100,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1100.0,Inventory,TO_CONFIRM,Inventory
2025-04-12,550,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل ميزانيه,-550.0,Review,TO_CONFIRM,Review
2025-06-16,924,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-924.0,Inventory,TO_CONFIRM,Inventory
2025-06-16,1200,Money In,Revenue,HappyLand,TO_CONFIRM,1200.0,Inflow,TO_CONFIRM,Inflow
2025-06-17,513,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-513.0,Inventory,TO_CONFIRM,Inventory
2025-06-18,801,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-801.0,Inventory,TO_CONFIRM,Inventory
2025-06-19,896,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-896.0,Inventory,TO_CONFIRM,Inventory
2025-06-20,3435,Money In,Revenue,HTMall,TO_CONFIRM,3435.0,Inflow,TO_CONFIRM,Inflow
2025-06-21,530,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-530.0,Inventory,TO_CONFIRM,Inventory
2025-06-22,2332,Money In,Revenue,deplomacyMall,TO_CONFIRM,2332.0,Inflow,TO_CONFIRM,Inflow
