PurchaseID,DateTime,OperatorEmail,Supplier,ReceiptTotal,CalculatedTotal,ReceiptPhoto,Notes
8c868700,2/3/2026,anasgherfal@gmail.com,المتحدة,492,0,Purchases_Images/8c868700.ReceiptPhoto.160459.jpg,
78bf660c,2/8/2026,anasgherfal@gmail.com,,167,180,Purchases_Images/78bf660c.ReceiptPhoto.151020.jpg,
1e8e1725,2/9/2026,anasgherfal@gmail.com,النعمي,180,0,Purchases_Images/1e8e1725.ReceiptPhoto.141006.jpg,
205b5873,2/9/2026,anasgherfal@gmail.com,المتحدة,160,54,Purchases_Images/205b5873.ReceiptPhoto.143429.jpg,
e6061ec0,2/11/2026,anasgherfal@gmail.com,النعمي,1050,813,Purchases_Images/e6061ec0.ReceiptPhoto.225740.jpg,
699bb18e,2/13/2026,anasgherfal@gmail.com,,487,164,Purchases_Images/699bb18e.ReceiptPhoto.233518.jpg,
081080d2,2/13/2026,anasgherfal@gmail.com,,1283,823,Purchases_Images/081080d2.ReceiptPhoto.233903.jpg,
5edb299b,2/13/2026,anasgherfal@gmail.com,,447,434,Purchases_Images/5edb299b.ReceiptPhoto.234049.jpg,
5911af10,2/14/2026,anasgherfal@gmail.com,,217,198,Purchases_Images/5911af10.ReceiptPhoto.182510.jpg,
bef5de38,2/14/2026,anasgherfal@gmail.com,,388,379,Purchases_Images/bef5de38.ReceiptPhoto.182618.jpg,
5a06a350,2/14/2026,anasgherfal@gmail.com,,541,117,Purchases_Images/5a06a350.ReceiptPhoto.182721.jpg,
b19189c2,2/15/2026,anasgherfal@gmail.com,,913,508,Purchases_Images/b19189c2.ReceiptPhoto.183246.jpg,
bcb95171,2/15/2026,anasgherfal@gmail.com,,748,573,Purchases_Images/bcb95171.ReceiptPhoto.183329.jpg,
5f9fc030,2/16/2026,anasgherfal@gmail.com,,464,141,Purchases_Images/5f9fc030.ReceiptPhoto.183523.jpg,
7c315092,2/16/2026,anasgherfal@gmail.com,,870,696,Purchases_Images/7c315092.ReceiptPhoto.183732.jpg,
666228c0,2/16/2026,anasgherfal@gmail.com,,167,180,Purchases_Images/666228c0.ReceiptPhoto.183805.jpg,
a02d1fa8,2/18/2026,anasgherfal@gmail.com,,987,59,Purchases_Images/a02d1fa8.ReceiptPhoto.201054.jpg,
24f2992a,2/7/2026,anasgherfal@gmail.com,,771,420,Purchases_Images/24f2992a.ReceiptPhoto.204202.jpg,
49781d38,2/21/2026,anasgherfal@gmail.com,,519,216,Purchases_Images/49781d38.ReceiptPhoto.125107.jpg,
e44fac19,2/21/2026,anasgherfal@gmail.com,,55,45,Purchases_Images/e44fac19.ReceiptPhoto.125232.jpg,
fa326fde,2/28/2026,anasgherfal@gmail.com,,1228,2644,Purchases_Images/fa326fde.ReceiptPhoto.125611.jpg,
4d8053dc,2/28/2026,anasgherfal@gmail.com,,240,216,Purchases_Images/4d8053dc.ReceiptPhoto.125642.jpg,
f1314e9b,2/28/2026,anasgherfal@gmail.com,,700,605,Purchases_Images/f1314e9b.ReceiptPhoto.125932.jpg,
58f0f51e,2/21/2026,anasgherfal@gmail.com,,913,744,Purchases_Images/58f0f51e.ReceiptPhoto.050124.jpg,
8fe7beb3,2/28/2026,anasgherfal@gmail.com,,140,144,Purchases_Images/8fe7beb3.ReceiptPhoto.050419.jpg,
2200b6da,3/3/2026,anasgherfal@gmail.com,,574,238,Purchases_Images/2200b6da.ReceiptPhoto.182805.jpg,
edecceb3,3/3/2026,anasgherfal@gmail.com,,115,116,Purchases_Images/edecceb3.ReceiptPhoto.182901.jpg,
30ca239d,3/3/2026,anasgherfal@gmail.com,,369,294,Purchases_Images/30ca239d.ReceiptPhoto.183006.jpg,
43f4b2f6,3/7/2026,anasgherfal@gmail.com,,818,316,Purchases_Images/43f4b2f6.ReceiptPhoto.163739.jpg,
35cb0a30,3/7/2026,anasgherfal@gmail.com,,84,0,Purchases_Images/35cb0a30.ReceiptPhoto.163907.jpg,
fd017c96,3/7/2026,anasgherfal@gmail.com,,598,476,Purchases_Images/fd017c96.ReceiptPhoto.164140.jpg,
f00c0ff5,3/7/2026,anasgherfal@gmail.com,,418,365,Purchases_Images/f00c0ff5.ReceiptPhoto.164414.jpg,
db31e3f8,3/7/2026,anasgherfal@gmail.com,,88,78,Purchases_Images/db31e3f8.ReceiptPhoto.164450.jpg,
e5fb83ab,3/10/2026,anasgherfal@gmail.com,,1477,910,Purchases_Images/e5fb83ab.ReceiptPhoto.165320.jpg,
e420d6a9,3/10/2026,anasgherfal@gmail.com,,392,0,Purchases_Images/e420d6a9.ReceiptPhoto.165629.jpg,
fbd124cf,3/10/2026,anasgherfal@gmail.com,,500,350,Purchases_Images/fbd124cf.ReceiptPhoto.165711.jpg,
82c76ea5,3/10/2026,anasgherfal@gmail.com,,475,420,Purchases_Images/82c76ea5.ReceiptPhoto.165741.jpg,
c71a5b2c,3/15/2026,anasgherfal@gmail.com,,1414,1037,Purchases_Images/c71a5b2c.ReceiptPhoto.161029.jpg,
0aabb6d2,3/15/2026,anasgherfal@gmail.com,,655,451,Purchases_Images/0aabb6d2.ReceiptPhoto.162710.jpg,
1144b357,3/15/2026,anasgherfal@gmail.com,,920,367,Purchases_Images/1144b357.ReceiptPhoto.163003.jpg,
de4ec195,3/15/2026,anasgherfal@gmail.com,,195,180,Purchases_Images/de4ec195.ReceiptPhoto.163259.jpg,
6502020e,3/19/2026,anasgherfal@gmail.com,,498,458,Purchases_Images/6502020e.ReceiptPhoto.151038.jpg,
0717bd0b,3/19/2026,anasgherfal@gmail.com,,810,522,Purchases_Images/0717bd0b.ReceiptPhoto.151306.jpg,
161a86ec,3/19/2026,anasgherfal@gmail.com,,768,753,Purchases_Images/161a86ec.ReceiptPhoto.151645.jpg,
dd9b4145,3/22/2026,anasgherfal@gmail.com,,192,180,Purchases_Images/dd9b4145.ReceiptPhoto.112947.jpg,
90f9d1f9,3/22/2026,anasgherfal@gmail.com,,140,118,Purchases_Images/90f9d1f9.ReceiptPhoto.113025.jpg,
868835ce,3/22/2026,anasgherfal@gmail.com,,515,420,Purchases_Images/868835ce.ReceiptPhoto.113058.jpg,
7a0e9897,3/22/2026,anasgherfal@gmail.com,,288,270,Purchases_Images/7a0e9897.ReceiptPhoto.113233.jpg,
4087a248,3/22/2026,anasgherfal@gmail.com,,80,0,Purchases_Images/4087a248.ReceiptPhoto.113330.jpg,
20efc97b,3/23/2026,anasgherfal@gmail.com,,990,903,Purchases_Images/20efc97b.ReceiptPhoto.095923.jpg,
1a253598,3/23/2026,anasgherfal@gmail.com,,94,46,Purchases_Images/1a253598.ReceiptPhoto.100026.jpg,
41b292a0,3/24/2026,anasgherfal@gmail.com,,1566,1044,Purchases_Images/41b292a0.ReceiptPhoto.124337.jpg,
316f5491,3/24/2026,anasgherfal@gmail.com,,1732,946,Purchases_Images/316f5491.ReceiptPhoto.124533.jpg,
011b17d4,3/24/2026,anasgherfal@gmail.com,,1281,600,Purchases_Images/011b17d4.ReceiptPhoto.125021.jpg,
fa6cc36f,3/24/2026,anasgherfal@gmail.com,,441,282,Purchases_Images/fa6cc36f.ReceiptPhoto.125121.jpg,
ad41d324,3/25/2026,anasgherfal@gmail.com,,594,648,Purchases_Images/ad41d324.ReceiptPhoto.131422.jpg,
bd35a5cf,3/25/2026,anasgherfal@gmail.com,,195,180,Purchases_Images/bd35a5cf.ReceiptPhoto.132557.jpg,
fb914ad9,3/26/2026,anasgherfal@gmail.com,,613,363,Purchases_Images/fb914ad9.ReceiptPhoto.180300.jpg,
a48e4ced,3/28/2026,anasgherfal@gmail.com,,618,376,Purchases_Images/a48e4ced.ReceiptPhoto.001641.jpg,
ffb86cee,3/28/2026,anasgherfal@gmail.com,,1484,1254,Purchases_Images/ffb86cee.ReceiptPhoto.002053.jpg,
bb81e412,3/28/2026,anasgherfal@gmail.com,,490,0,Purchases_Images/bb81e412.ReceiptPhoto.002327.jpg,
4f7d1480,3/28/2026,anasgherfal@gmail.com,,228,200,Purchases_Images/4f7d1480.ReceiptPhoto.002408.jpg,
4dee2d99,4/2/2026,anasgherfal@gmail.com,,1876,1376,Purchases_Images/4dee2d99.ReceiptPhoto.122411.jpg,
c8a65d6e,4/2/2026,anasgherfal@gmail.com,,602,93,Purchases_Images/c8a65d6e.ReceiptPhoto.122604.jpg,
9fead2ae,4/2/2026,anasgherfal@gmail.com,,927,875,Purchases_Images/9fead2ae.ReceiptPhoto.122741.jpg,
03ab8e87,4/2/2026,anasgherfal@gmail.com,,252,216,Purchases_Images/03ab8e87.ReceiptPhoto.122832.jpg,
a1578cc1,4/4/2026,anasgherfal@gmail.com,,235,144,Purchases_Images/a1578cc1.ReceiptPhoto.204821.jpg,
fc1fe687,4/4/2026,anasgherfal@gmail.com,,80,0,Purchases_Images/fc1fe687.ReceiptPhoto.205144.jpg,
3c818630,4/4/2026,anasgherfal@gmail.com,,210,177,Purchases_Images/3c818630.ReceiptPhoto.205205.jpg,
2f593f55,4/4/2026,anasgherfal@gmail.com,,450,407,Purchases_Images/2f593f55.ReceiptPhoto.205404.jpg,
2529f781,4/4/2026,anasgherfal@gmail.com,,250,164,Purchases_Images/2529f781.ReceiptPhoto.205547.jpg,
cabe7632,4/6/2026,anasgherfal@gmail.com,,180,116,Purchases_Images/cabe7632.ReceiptPhoto.235758.jpg,
,,,,,,,
9f636573,4/7/2026,anasgherfal@gmail.com,,283,0,Purchases_Images/9f636573.ReceiptPhoto.210211.jpg,
683bf08a,4/8/2026,zegallai911@gmail.com,اسامة,88,0,Purchases_Images/683bf08a.ReceiptPhoto.134745.jpg,
c1e1d389,4/8/2026,anasgherfal@gmail.com,,458,0,Purchases_Images/c1e1d389.ReceiptPhoto.101403.jpg,
557cdc68,4/9/2026,anasgherfal@gmail.com,,182,24,Purchases_Images/557cdc68.ReceiptPhoto.182334.jpg,
d97919fb,4/9/2026,anasgherfal@gmail.com,,615,108,Purchases_Images/d97919fb.ReceiptPhoto.185629.jpg,
e4b28613,4/9/2026,anasgherfal@gmail.com,,558,32,Purchases_Images/e4b28613.ReceiptPhoto.160130.jpg,
49752fc8,4/11/2026,anasgherfal@gmail.com,,348,0,Purchases_Images/49752fc8.ReceiptPhoto.175711.jpg,
80a016cc,4/11/2026,anasgherfal@gmail.com,,1112,287,Purchases_Images/80a016cc.ReceiptPhoto.180107.jpg,
fbd37e83,4/11/2026,anasgherfal@gmail.com,,380,0,Purchases_Images/fbd37e83.ReceiptPhoto.180256.jpg,
56c2e6a0,4/11/2026,anasgherfal@gmail.com,,330,0,Purchases_Images/56c2e6a0.ReceiptPhoto.180341.jpg,
8efceb90,4/12/2026,anasgherfal@gmail.com,,45,0,Purchases_Images/8efceb90.ReceiptPhoto.001629.jpg,
042b4059,4/14/2026,anasgherfal@gmail.com,,1190,285,Purchases_Images/042b4059.ReceiptPhoto.223927.jpg,
60491f07,4/14/2026,anasgherfal@gmail.com,,300,0,Purchases_Images/60491f07.ReceiptPhoto.224033.jpg,
05b7d2e6,4/14/2026,anasgherfal@gmail.com,,85,0,Purchases_Images/05b7d2e6.ReceiptPhoto.224130.jpg,
7f904a80,4/15/2026,anasgherfal@gmail.com,,147,0,Purchases_Images/7f904a80.ReceiptPhoto.204819.jpg,
b0a218ab,4/15/2026,anasgherfal@gmail.com,,861,257,Purchases_Images/b0a218ab.ReceiptPhoto.232245.jpg,
3f2a94d8,4/17/2026,anasgherfal@gmail.com,,488,24,Purchases_Images/3f2a94d8.ReceiptPhoto.143036.jpg,
e78fc3c9,4/18/2026,anasgherfal@gmail.com,,1218,0,Purchases_Images/e78fc3c9.ReceiptPhoto.172223.jpg,
ead44bd8,4/18/2026,anasgherfal@gmail.com,,855,259,Purchases_Images/ead44bd8.ReceiptPhoto.172706.jpg,
691f5194,4/18/2026,anasgherfal@gmail.com,,147,0,Purchases_Images/691f5194.ReceiptPhoto.172757.jpg,
37093ad1,4/19/2026,anasgherfal@gmail.com,,400,0,Purchases_Images/37093ad1.ReceiptPhoto.172225.jpg,
94b7eba6,4/19/2026,anasgherfal@gmail.com,,23,0,Purchases_Images/94b7eba6.ReceiptPhoto.204451.jpg,
f19003a8,4/19/2026,anasgherfal@gmail.com,,230,24,Purchases_Images/f19003a8.ReceiptPhoto.021047.jpg,
fb40a272,4/20/2026,anasgherfal@gmail.com,,1748,542,Purchases_Images/fb40a272.ReceiptPhoto.181525.jpg,
4c061a87,4/20/2026,anasgherfal@gmail.com,,269,32,Purchases_Images/4c061a87.ReceiptPhoto.181703.jpg,
b00e6b07,4/20/2026,anasgherfal@gmail.com,,480,0,Purchases_Images/b00e6b07.ReceiptPhoto.181918.jpg,
32e56c2c,4/22/2026,anasgherfal@gmail.com,,80,0,Purchases_Images/32e56c2c.ReceiptPhoto.150524.jpg,
626d0b59,4/22/2026,anasgherfal@gmail.com,,351,0,Purchases_Images/626d0b59.ReceiptPhoto.150613.jpg,
0407b6ca,4/22/2026,anasgherfal@gmail.com,,140,0,Purchases_Images/0407b6ca.ReceiptPhoto.151723.jpg,
9b692f1d,4/25/2026,anasgherfal@gmail.com,,948,0,Purchases_Images/9b692f1d.ReceiptPhoto.213817.jpg,
15948e0d,4/25/2026,anasgherfal@gmail.com,,425,0,Purchases_Images/15948e0d.ReceiptPhoto.215057.jpg,
8588cab5,4/25/2026,anasgherfal@gmail.com,,199,98,Purchases_Images/8588cab5.ReceiptPhoto.220112.jpg,
ab54e6b0,4/25/2026,anasgherfal@gmail.com,,400,0,Purchases_Images/ab54e6b0.ReceiptPhoto.220158.jpg,
4046a521,4/26/2026,anasgherfal@gmail.com,,1200,0,Purchases_Images/4046a521.ReceiptPhoto.221829.jpg,
138a44eb,4/26/2026,anasgherfal@gmail.com,,600,177,Purchases_Images/138a44eb.ReceiptPhoto.221904.jpg,
467b9a30,4/26/2026,anasgherfal@gmail.com,,167,0,Purchases_Images/467b9a30.ReceiptPhoto.221919.jpg,
8c24f1f2,4/28/2026,anasgherfal@gmail.com,,400,0,Purchases_Images/8c24f1f2.ReceiptPhoto.125205.jpg,
851a886d,4/29/2026,anasgherfal@gmail.com,,900,48,Purchases_Images/851a886d.ReceiptPhoto.004808.jpg,
c3c8d6b8,5/1/2026,anasgherfal@gmail.com,,1212,0,Purchases_Images/c3c8d6b8.ReceiptPhoto.133134.jpg,
13a4ee3b,5/1/2026,anasgherfal@gmail.com,,276,0,Purchases_Images/13a4ee3b.ReceiptPhoto.133328.jpg,
1e8be36f,5/2/2026,anasgherfal@gmail.com,,758,402,Purchases_Images/1e8be36f.ReceiptPhoto.121327.jpg,
79a6a3cc,5/2/2026,anasgherfal@gmail.com,,283,94,Purchases_Images/79a6a3cc.ReceiptPhoto.121419.jpg,
93a3ee83,5/2/2026,anasgherfal@gmail.com,,160,0,Purchases_Images/93a3ee83.ReceiptPhoto.121458.jpg,
f4cc1692,5/3/2026,anasgherfal@gmail.com,,322,0,Purchases_Images/f4cc1692.ReceiptPhoto.121549.jpg,
363e9bf3,5/3/2026,anasgherfal@gmail.com,,505,0,Purchases_Images/363e9bf3.ReceiptPhoto.121719.jpg,
f89f0ba4,5/4/2026,anasgherfal@gmail.com,,181,0,Purchases_Images/f89f0ba4.ReceiptPhoto.153145.jpg,
0924fefb,5/6/2026,anasgherfal@gmail.com,,1248,0,Purchases_Images/0924fefb.ReceiptPhoto.234455.jpg,
859a6d00,5/5/2026,anasgherfal@gmail.com,,38,0,Purchases_Images/859a6d00.ReceiptPhoto.234604.jpg,
e00ef670,5/5/2026,anasgherfal@gmail.com,,603,0,Purchases_Images/e00ef670.ReceiptPhoto.234711.jpg,
35177ec8,5/8/2026,anasgherfal@gmail.com,,114,0,Purchases_Images/35177ec8.ReceiptPhoto.124408.jpg,
232714fb,5/8/2026,anasgherfal@gmail.com,,866,0,Purchases_Images/232714fb.ReceiptPhoto.124455.jpg,
0faa5a7d,5/9/2026,anasgherfal@gmail.com,,764,354,Purchases_Images/0faa5a7d.ReceiptPhoto.124746.jpg,
078be5f0,5/9/2026,anasgherfal@gmail.com,,218,0,Purchases_Images/078be5f0.ReceiptPhoto.124903.jpg,
042d8e4c,5/10/2026,anasgherfal@gmail.com,,137,0,Purchases_Images/042d8e4c.ReceiptPhoto.124947.jpg,
2e4b81ab,5/10/2026,anasgherfal@gmail.com,,136,0,Purchases_Images/2e4b81ab.ReceiptPhoto.125046.jpg,
e2ae3eda,5/13/2026,anasgherfal@gmail.com,,200,0,Purchases_Images/e2ae3eda.ReceiptPhoto.172321.jpg,
